Status	        Start Date	End Date
------------------------------------------
MD              2011-10-30      2012-03-11
MagUp           2011-10-22      2011-10-30
MagDown (VDM)   2011-10-21      2011-10-22
MagDown         2011-10-16      2011-10-21
MagDown (VDM)   2011-10-15      2011-10-16
MagDown         2011-10-05      2011-10-15
MagUp           2011-09-28      2011-10-05
MagDown         2011-09-16      2011-09-28
MagUp           2011-09-07      2011-09-16
TS              2011-08-22      2011-09-07
MagUp           2011-08-17      2011-08-22
MagDown         2011-07-27      2011-08-17
MagUp           2011-07-08      2011-07-27
TS              2011-06-28      2011-07-08
MagUp           2011-06-11      2011-06-28
MagDown	        2011-05-21	    2011-06-11
TS              2011-04-29      2011-05-21
MagDown         2011-04-28      2011-04-29
MagUp           2011-04-26      2011-04-28
MagDown         2011-04-25      2011-04-26
MagDown         2011-03-28      2011-04-25
MagDown         2011-03-25      2011-03-28
MagDown         2011-02-29      2011-03-25
