#CLKstep	Min_Int1_avg	Min_Int1_stddev	Min_Int2_avg	Min_Int2_stddev
1	1.0674e+00	4.7578e-03	1.0334e+00	1.8878e-02
2	1.0656e+00	3.2209e-03	1.0307e+00	4.9078e-03
3	1.0655e+00	1.7934e-03	1.0356e+00	5.5706e-03
4	1.0625e+00	2.8871e-03	1.0349e+00	5.5972e-03
5	1.0649e+00	4.1781e-03	1.0321e+00	1.6952e-03
6	1.0640e+00	3.7062e-03	1.0366e+00	8.0383e-03
7	1.0620e+00	7.7896e-03	1.0351e+00	8.0600e-03
8	1.0626e+00	5.2244e-03	1.0338e+00	9.7377e-03
9	1.0642e+00	6.2609e-03	1.0367e+00	7.1236e-03
10	1.0606e+00	7.1217e-03	1.0302e+00	8.8656e-03
11	1.0630e+00	4.8332e-03	1.0329e+00	1.1115e-02
12	1.0634e+00	3.7221e-03	1.0295e+00	6.0730e-03
13	1.0618e+00	5.3636e-03	1.0321e+00	9.7070e-03
14	1.0601e+00	6.4957e-03	1.0283e+00	7.8196e-03
15	1.0638e+00	2.7883e-03	1.0380e+00	8.5510e-03
16	1.0628e+00	4.0625e-03	1.0354e+00	7.2453e-03
17	1.0605e+00	6.0470e-03	1.0355e+00	7.9615e-03
18	1.0649e+00	4.4189e-03	1.0357e+00	7.0674e-03
19	1.0637e+00	5.8853e-03	1.0340e+00	6.6794e-03
20	1.0626e+00	4.3573e-03	1.0344e+00	5.4664e-03
21	1.0633e+00	5.2832e-03	1.0344e+00	5.4412e-03
22	1.0608e+00	5.6319e-03	1.0342e+00	6.1330e-03
23	1.0631e+00	3.6595e-03	1.0358e+00	4.8389e-03
24	1.0612e+00	3.6385e-03	1.0356e+00	4.1606e-03
25	1.0598e+00	5.8009e-03	1.0308e+00	3.1282e-03
26	1.0593e+00	4.4247e-03	1.0347e+00	6.4615e-03
27	1.0613e+00	6.2585e-03	1.0344e+00	7.6087e-03
28	1.0602e+00	5.9570e-03	1.0357e+00	6.3763e-03
29	1.0629e+00	4.6212e-03	1.0353e+00	8.0350e-03
30	1.0629e+00	4.9951e-03	1.0334e+00	8.7994e-03
31	1.0597e+00	6.6225e-03	1.0358e+00	7.3187e-03
32	1.0573e+00	5.1750e-03	1.0329e+00	7.7077e-03
33	1.0612e+00	5.2891e-03	1.0351e+00	6.3381e-03
34	1.0605e+00	4.4955e-03	1.0317e+00	4.2042e-03
35	1.0594e+00	9.5750e-03	1.0352e+00	6.8263e-03
36	1.0536e+00	9.4542e-03	1.0339e+00	6.9726e-03
37	1.0598e+00	6.4174e-03	1.0344e+00	2.9118e-03
38	1.0588e+00	6.9471e-03	1.0324e+00	5.7715e-03
39	1.0562e+00	6.0477e-03	1.0349e+00	6.2656e-03
40	1.0560e+00	6.6265e-03	1.0378e+00	5.8356e-03
41	1.0611e+00	5.5391e-03	1.0366e+00	6.6313e-03
42	1.0569e+00	6.4529e-03	1.0374e+00	7.5916e-03
