file CF_noEff CF_eff Delta_CF sigma_Delta_CF phase_noEff phase_Eff Delta_phase sigma_Delta_phase A_noEff Abar_noEff A_withEff Abar_withEff AxAbarRe_noEff AxAbarIm_noEff AxAbarRe_withEff AxAbarIm_withEff
autoRnd_0.out 0.582476 0.572703 -0.00977276 0.0070628 45.2009 42.2488 -2.95205 0.286134 0.175619 0.0153063 0.0167222 0.00144356 0.00110325 0.00111102 1.02336e-05 9.29513e-06
autoRnd_1.out 0.451517 0.45244 0.00092263 0.00699593 140.902 133.788 -7.11411 0.279813 0.159261 0.0180703 0.0151689 0.00172377 -0.00100843 0.00081948 -8.18638e-06 8.54035e-06
autoRnd_10.out 0.762443 0.76622 0.00377694 0.0070405 -147.654 -150.229 -2.57529 0.276431 0.173184 0.0150066 0.0164934 0.00144024 -0.00167404 -0.00106018 -1.57989e-05 -9.03752e-06
autoRnd_100.out 0.75213 0.762099 0.00996885 0.0070323 159.201 157.413 -1.78833 0.219281 0.143087 0.0177085 0.0136124 0.00173456 -0.0017816 0.000676722 -1.66141e-05 6.91138e-06
autoRnd_101.out 0.670755 0.690018 0.0192628 0.00699857 -140.919 -139.775 1.144 0.282166 0.128723 0.0156901 0.0122572 0.00154149 -0.0010516 -0.000854023 -9.9544e-06 -8.41946e-06
autoRnd_102.out 0.357358 0.315904 -0.0414538 0.00693932 94.5781 89.0945 -5.48364 0.206548 0.144039 0.0140242 0.0137223 0.00130638 -5.76188e-05 0.000719569 8.94952e-08 5.66237e-06
autoRnd_103.out 0.194864 0.189919 -0.00494447 0.00695093 -6.81047 -23.4189 -16.6085 0.235339 0.137895 0.00911202 0.0131233 0.000852772 0.00024312 -2.90353e-05 1.95034e-06 -8.44753e-07
autoRnd_104.out 0.613783 0.620884 0.00710101 0.00704691 -4.48291 -8.78564 -4.30273 0.190046 0.182143 0.0153627 0.0173662 0.00145945 0.00171224 -0.000134242 1.55517e-05 -2.40354e-06
autoRnd_105.out 0.633847 0.638559 0.00471245 0.00705692 77.2371 73.44 -3.79708 0.211435 0.164572 0.0162625 0.0156688 0.00157772 0.000374763 0.00165448 4.49924e-06 1.5131e-05
autoRnd_106.out 0.3777 0.415291 0.037591 0.00696035 87.4862 86.3099 -1.17637 0.215451 0.169743 0.0138171 0.0161746 0.00137549 3.88527e-05 0.000884994 5.94651e-07 9.22022e-06
autoRnd_107.out 0.368811 0.40763 0.0388197 0.00694565 139.402 137.19 -2.21213 0.279788 0.152887 0.0146397 0.0145548 0.00143723 -0.000626784 0.000537173 -6.25561e-06 5.79473e-06
autoRnd_108.out 0.782355 0.793042 0.0106866 0.00703065 -174.322 -176.664 -2.34239 0.151712 0.13367 0.0136443 0.0127303 0.00132736 -0.00141988 -0.000141179 -1.33779e-05 -7.79765e-07
autoRnd_109.out 0.680673 0.676435 -0.00423785 0.00702987 -104.273 -108.421 -4.14832 0.212361 0.128698 0.0211487 0.012255 0.00201813 -0.000456742 -0.00179547 -5.28651e-06 -1.58726e-05
autoRnd_11.out 0.671977 0.686518 0.0145404 0.00704247 -73.1582 -75.3477 -2.18957 0.211166 0.16016 0.0169058 0.0152543 0.00167867 0.000527155 -0.00174142 4.44682e-06 -1.7008e-05
autoRnd_110.out 0.365186 0.3406 -0.0245862 0.0069568 0.121068 -2.62831 -2.74937 0.227784 0.162066 0.0154559 0.0154403 0.00149041 0.000914743 1.93289e-06 7.82977e-06 -3.59424e-07
