*MASS(MeV)    ,Err+   ,Err-   ,WIDTH(MeV)  ,Err+   ,Err-   ,I  ,G,J   ,P,C,A,PDG-MC ,Chrg,R,S,Name             ,Quarks         
0.0E+00       ,0.0E+00,0.0E+00,0.0E+00     ,0.0E+00,0.0E+00,<2 , ,1   ,-,-, ,     22,   0, ,R,gamma            ,                
8.0403E+04    ,2.9E+01,2.9E+01,2.14E+03    ,4.0E+01,4.0E+01,   , ,1   , , ,B,     24,   +, ,R,W                ,                
9.11876E+04   ,2.1E+00,2.1E+00,2.4952E+03  ,2.3E+00,2.3E+00,   , ,1   , , , ,     23,   0, ,R,Z                ,                
5.1099892E-01 ,4.0E-08,4.0E-08,0.0E+00     ,0.0E+00,0.0E+00,   , ,1/2 , , ,B,     11,   -, ,R,e                ,                
1.05658369E+02,9.0E-06,9.0E-06,2.99591E-16 ,5.0E-21,5.0E-21,   , ,1/2 , , ,B,     13,   -, ,R,mu               ,                
1.77699E+03   ,2.9E-01,2.6E-01,2.265E-09   ,8.0E-12,8.0E-12,   , ,1/2 , , ,B,     15,   -, ,R,tau              ,                
2.2E+00       ,8.0E-01,8.0E-01,-1          ,-1     ,-1     ,1/2, ,1/2 ,+, ,F,      2,+2/3, ,R,u                ,u               
5.0E+00       ,2.0E+00,2.0E+00,-1          ,-1     ,-1     ,1/2, ,1/2 ,+, ,F,      1,-1/3, ,R,d                ,d               
9.5E+01       ,2.5E+01,2.5E+01,-1          ,-1     ,-1     ,0  , ,1/2 ,+, ,F,      3,-1/3, ,R,s                ,s               
1.25E+03      ,9.0E+01,9.0E+01,-1          ,-1     ,-1     ,0  , ,1/2 ,+, ,F,      4,+2/3, ,R,c                ,c               
4.20E+03      ,7.0E+01,7.0E+01,-1          ,-1     ,-1     ,0  , ,1/2 ,+, ,F,      5,-1/3, ,R,b                ,b               
1.742E+05     ,3.3E+03,3.3E+03,-1          ,-1     ,-1     ,0  , ,1/2 ,+, ,F,      6,+2/3, ,R,t                ,t               
1.3957018E+02 ,3.5E-04,3.5E-04,2.5284E-14  ,5.0E-18,5.0E-18,1  ,-,0   ,-, ,B,    211,   +, ,R,pi               ,uD              
1.349766E+02  ,6.0E-04,6.0E-04,7.8E-06     ,6.0E-07,5.0E-07,1  ,-,0   ,-,+, ,    111,   0, ,R,pi               ,(uU-dD)/sqrt(2) 
5.4751E+02    ,1.8E-01,1.8E-01,1.30E-03    ,7.0E-05,7.0E-05,0  ,+,0   ,-,+, ,    221,   0, ,R,eta              ,x(uU+dD)+y(sS)  
8.0E+02       ,4.0E+02,4.0E+02,8.0E+02     ,2.0E+02,2.0E+02,0  ,+,0   ,+,+, ,9000221,   0, ,R,f(0)(600)        ,Maybe non-qQ    
7.755E+02     ,4.0E-01,4.0E-01,1.4940E+02  ,1.0E+00,1.0E+00,1  ,+,1   ,-, ,B,    213,   +, ,R,rho(770)         ,uD  
*
*            
7.7526E+02     ,2.5E-01,2.5E-01,1.4780E+02  ,0.9E+00,0.9E+00,1  ,+,1   ,-,-,B,    113,   0, ,R,rho(770)         ,(uU-dD)/sqrt(2) 
7.8265E+02    ,1.2E-01,1.2E-01,8.49E+00    ,8.0E-02,8.0E-02,0  ,-,1   ,-,-, ,    223,   0, ,R,omega(782)       ,x(uU+dD)+y(sS)  
*
*
9.5778E+02    ,1.4E-01,1.4E-01,2.03E-01    ,1.6E-02,1.6E-02,0  ,+,0   ,-,+, ,    331,   0, ,R,eta'(958)        ,x(uU+dD)+y(sS)  
*
*
9.900E+02     ,2.0E+01,2.0E+01,5.0E+01     ,5.0E+01,1.0E+01,0  ,+,0   ,+,+, ,9010221,   0, ,R,f(0)(980)        ,Maybe non-qQ    
*
*
9.847E+02     ,1.2E+00,1.2E+00,7.5E+01     ,2.5E+01,2.5E+01,1  ,-,0   ,+, ,B,9000211,   +, ,R,a(0)(980)        ,Maybe non-qQ    
9.847E+02     ,1.2E+00,1.2E+00,7.5E+01     ,2.5E+01,2.5E+01,1  ,-,0   ,+,+,B,9000111,   0, ,R,a(0)(980)        ,Maybe non-qQ    
1.019460E+03  ,1.9E-02,1.9E-02,4.26E+00    ,5.0E-02,5.0E-02,0  ,-,1   ,-,-, ,    333,   0, ,R,phi(1020)        ,x(uU+dD)+y(sS)  
1.170E+03     ,2.0E+01,2.0E+01,3.6E+02     ,4.0E+01,4.0E+01,0  ,-,1   ,+,-, ,  10223,   0, ,R,h(1)(1170)       ,x(uU+dD)+y(sS)  
1.2295E+03    ,3.2E+00,3.2E+00,1.42E+02    ,9.0E+00,9.0E+00,1  ,+,1   ,+, ,B,  10213,   +, ,R,b(1)(1235)       ,uD              
1.2295E+03    ,3.2E+00,3.2E+00,1.42E+02    ,9.0E+00,9.0E+00,1  ,+,1   ,+,-,B,  10113,   0, ,R,b(1)(1235)       ,(uU-dD)/sqrt(2) 
1.23E+03      ,4.0E+01,4.0E+01,4.2E+02     ,1.8E+02,1.8E+02,1  ,-,1   ,+, ,B,  20213,   +, ,R,a(1)(1260)       ,uD              
