Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^0^s|macaddress^00:30:59:01:C7:A1^s|ipaddress^10.130.36.23^s|administrative_status^1^i|pxi_booting^1^i|bia^None^s|port_way^1^i|phy^^s|old_ip^^s|port_type^control^s|ipname^ectell03^s|subnet_info^255.252.0.0^s|modify_status^-1^i|speed^100^i|^
Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^1^s|macaddress^none^s|ipaddress^None^s|administrative_status^1^i|pxi_booting^0^i|bia^none^s|port_way^1^i|phy^^s|old_ip^^s|port_type^tfc_data^s|ipname^^s|subnet_info^^s|modify_status^-1^i|speed^0^i|^
Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^2^s|macaddress^none^s|ipaddress^None^s|administrative_status^1^i|pxi_booting^0^i|bia^none^s|port_way^1^i|phy^^s|old_ip^^s|port_type^data^s|ipname^^s|subnet_info^^s|modify_status^-1^i|speed^0^i|^
Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^3^s|macaddress^none^s|ipaddress^None^s|administrative_status^1^i|pxi_booting^0^i|bia^none^s|port_way^1^i|phy^^s|old_ip^^s|port_type^data^s|ipname^^s|subnet_info^^s|modify_status^-1^i|speed^0^i|^
Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^4^s|macaddress^none^s|ipaddress^None^s|administrative_status^1^i|pxi_booting^0^i|bia^none^s|port_way^1^i|phy^^s|old_ip^^s|port_type^data^s|ipname^^s|subnet_info^^s|modify_status^-1^i|speed^0^i|^
Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^5^s|macaddress^none^s|ipaddress^None^s|administrative_status^1^i|pxi_booting^0^i|bia^none^s|port_way^1^i|phy^^s|old_ip^^s|port_type^data^s|ipname^^s|subnet_info^^s|modify_status^-1^i|speed^0^i|^
Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^0^s|macaddress^00:CC:BB:03:03:00^s|ipaddress^192.169.3.3^s|administrative_status^1^i|pxi_booting^0^i|bia^None^s|port_way^2^i|phy^^s|old_ip^^s|port_type^DAQ_data^s|ipname^ectell03-d1^s|subnet_info^255.255.255.0^s|modify_status^-1^i|speed^1000^i|^
Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^1^s|macaddress^00:CC:BB:03:03:01^s|ipaddress^192.169.3.3^s|administrative_status^1^i|pxi_booting^0^i|bia^None^s|port_way^2^i|phy^^s|old_ip^^s|port_type^DAQ_data^s|ipname^ectell03-d1^s|subnet_info^255.255.255.0^s|modify_status^-1^i|speed^1000^i|^
Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^2^s|macaddress^00:CC:BB:03:03:02^s|ipaddress^192.169.3.3^s|administrative_status^1^i|pxi_booting^0^i|bia^None^s|port_way^2^i|phy^^s|old_ip^^s|port_type^DAQ_data^s|ipname^ectell03-d1^s|subnet_info^255.255.255.0^s|modify_status^-1^i|speed^1000^i|^
Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^3^s|macaddress^00:CC:BB:03:03:03^s|ipaddress^192.169.3.3^s|administrative_status^1^i|pxi_booting^0^i|bia^None^s|port_way^2^i|phy^^s|old_ip^^s|port_type^DAQ_data^s|ipname^ectell03-d1^s|subnet_info^255.255.255.0^s|modify_status^-1^i|speed^1000^i|^
Class^objectclasses.Port^s|State^0^i|system_name^TFC^s|devicename^TFC_TMP_DEVICE_1^s|save_status^0^i|portid^-1^i|port_nbr^4^s|macaddress^none^s|ipaddress^None^s|administrative_status^1^i|pxi_booting^0^i|bia^none^s|port_way^2^i|phy^^s|old_ip^^s|port_type^THROTTLE_data_out^s|ipname^^s|subnet_info^^s|modify_status^-1^i|speed^0^i|^
Class^objectclasses.Device^s|State^0^i|responsible^^s|OBJECT^5^i|promiscuous_mode^0^i|modify_status^-1^i|device_function^none^s|user_comments^^s|devicename^TFC_TMP_DEVICE_1^s|nbrofinput^6^i|nodeused^1^i|system_changed^0^i|location^D3B02F29f06^s|function_name^^s|node^1^i|save_status^0^i|serialnb^4ODLAUTL000405^s|description^Generic Readout Board^s|hwtype^^s|devicetype^ROBoard^s|active^0^i|system_name^TFC,DAQ,ECAL^s|node_changed^0^i|url^^s|rgbcolor^( 200, 200, 200 )^s|deviceid^^s|nbrofoutput^5^i|^
