|*Host*|*Location*|*ip0*|*eth0*|*ip1*|*eth1*|*Serial*|*Has ipmi*|
|*D1*||||||||
|hltc0101|D1C01|10.130.123.1|00:30:48:7E:0A:50|192.168.88.1|00:30:48:7E:0A:51|cr004310|<div style='background-color:green'>x</div>|
|hltc0102|D1C01|10.130.123.2|00:30:48:7E:0A:4A|192.168.88.2|00:30:48:7E:0A:4B|cr004311|<div style='background-color:green'>x</div>|
|hltc0103|D1C01|10.130.123.3|00:30:48:7D:02:2C|192.168.88.65|00:30:48:7D:02:2D|cr004410|<div style='background-color:green'>x</div>|
|hltc0104|D1C01|10.130.123.4|00:30:48:7D:07:C4|192.168.88.66|00:30:48:7D:07:C5|cr004411|<div style='background-color:green'>x</div>|
|hltc0201|D1C02|10.130.124.1|00:30:48:7D:05:F6|192.168.92.1|00:30:48:7D:05:F7|cr004312|<div style='background-color:green'>x</div>|
|hltc0202|D1C02|10.130.124.2|00:30:48:7D:05:F4|192.168.92.2|00:30:48:7D:05:F5|cr004313|<div style='background-color:green'>x</div>|
|hltc0203|D1C02|10.130.124.3|00:30:48:7D:07:B2|192.168.92.65|00:30:48:7D:07:B3|cr004412|<div style='background-color:green'>x</div>|
|hltc0204|D1C02|10.130.124.4|00:30:48:7D:08:44|192.168.92.66|00:30:48:7D:08:45|cr004413|<div style='background-color:green'>x</div>|
|hltc0301|D1C03|10.130.125.1|00:30:48:7E:2F:FA|192.168.96.1|00:30:48:7E:2F:FB|cr004314|<div style='background-color:green'>x</div>|
|hltc0302|D1C03|10.130.125.2|00:30:48:7E:28:20|192.168.96.2|00:30:48:7E:28:21|cr004315|<div style='background-color:green'>x</div>|
|hltc0303|D1C03|10.130.125.3|00:30:48:7D:A8:08|192.168.96.65|00:30:48:7D:A8:09|cr004414|<div style='background-color:green'>x</div>|
|hltc0304|D1C03|10.130.125.4|00:30:48:7D:A7:F0|192.168.96.66|00:30:48:7D:A7:F1|cr004415|<div style='background-color:green'>x</div>|
|hltc0401|D1C04|10.130.126.1|00:30:48:7D:02:26|192.168.100.1|00:30:48:7D:02:27|cr004316|<div style='background-color:green'>x</div>|
|hltc0402|D1C04|10.130.126.2|00:30:48:7D:08:2E|192.168.100.2|00:30:48:7D:08:2F|cr004317|<div style='background-color:green'>x</div>|
|hltc0403|D1C04|10.130.126.3|00:30:48:7D:A8:32|192.168.100.65|00:30:48:7D:A8:33|cr004416|<div style='background-color:green'>x</div>|
|hltc0404|D1C04|10.130.126.4|00:30:48:7D:A8:28|192.168.100.66|00:30:48:7D:A8:29|cr004417|<div style='background-color:green'>x</div>|
