|*Host*|*Location*|*ip0*|*eth0*|*ip1*|*eth1*|*Serial*|*Has ipmi*|
|*D1*||||||||
|hlte0201|D1E03|10.130.146.1|00:19:B9:DE:16:B8|192.168.180.1|00:19:B9:DE:16:BA|4y5zf2j|<div style='background-color:green'>x</div>|
|hlte0202|D1E03|10.130.146.2|00:13:72:F9:A9:7B|192.168.180.2|00:13:72:F9:A9:7D|8y5zf2j|<div style='background-color:green'>x</div>|
|hlte02proto|D1E02|192.168.38.1|00:15:c5:e5:3a:77|10.130.148.4|00:15:c5:e5:3a:75|XXXXX||
|hlte0301|D1E03|10.130.147.1|00:13:72:fa:eb:ce|192.168.184.1|00:13:72:fa:eb:d0|BVXXD2J|<div style='background-color:green'>x</div>|
|hlte0302|D1E03|10.130.147.2|00:13:72:FA:60:DF|192.168.184.2|00:13:72:FA:60:E1|30ZXD2J|<div style='background-color:green'>x</div>|
|hlte0303|D1E03|10.130.147.3|00:15:C5:E5:43:F7|192.168.184.65|00:15:C5:E5:43:F9|c1k4h2j|<div style='background-color:green'>x</div>|
|hlte03proto|D1E03|192.168.38.1|00:15:c5:e5:3a:77|10.130.148.4|00:15:c5:e5:3a:75|XXXXX||
|hlta06|d1a06|10.130.106.100|00:11:43:FD:99:BA||00:11:43:FD:99:BB|gmstj1j|<div style='background-color:green'>x</div>|
|hlta0601|d1a06|10.130.106.1|00:11:43:FD:98:F7|192.168.20.1|00:11:43:FD:98:F8|f8stj1j|<div style='background-color:green'>x</div>|
|hlta0602|d1a06|10.130.106.2|00:11:43:FD:A2:1B|192.168.20.2|00:11:43:FD:A2:1C|h5mrj1j|<div style='background-color:green'>x</div>|
|hlta0603|d1a06|10.130.106.3|00:11:43:FD:9B:1C|192.168.20.65|00:11:43:FD:9B:1D|1hstj1j|<div style='background-color:green'>x</div>|
|hlta07|d1a07|10.130.107.100|00:11:43:FD:99:03||00:11:43:FD:99:04|dmstj1j|<div style='background-color:green'>x</div>|
|hlta0701|d1a07|10.130.107.1|00:11:43:FD:9A:1D|192.168.24.1|00:11:43:FD:9A:1E|1gstj1j|<div style='background-color:green'>x</div>|
